path,methods,handler,line,context,decorator,other_decorators,docstring_first_line
/einsatz/<int:wid>/photo,POST,einsatz_photo,1222,create_app,app.route,login_required,
/einsatz/checkin,POST,einsatz_checkin,1156,create_app,app.route,login_required,
/einstellungen,GET|POST,settings_page,1792,create_app,app.route,login_required,
/erechnung/<int:wid>,GET,erechnung_download,1100,create_app,app.route,,Öffentliche Seite zum Download der E-Rechnung (XRechnung XML + PDF).
/erechnung/<int:wid>/pdf,GET,erechnung_pdf,1122,create_app,app.route,,
/erechnung/<int:wid>/xml,GET,erechnung_xml,1109,create_app,app.route,,
/fahrtenbuch,GET,logbook_list,1679,create_app,app.route,login_required,
/fahrtenbuch/<int:eid>/delete,POST,logbook_delete,1757,create_app,app.route,login_required,
/fahrtenbuch/<int:eid>/edit,GET|POST,logbook_edit,1730,create_app,app.route,login_required,
/fahrtenbuch/neu,GET|POST,logbook_new,1696,create_app,app.route,login_required,
/fahrtenbuch/pdf,GET,logbook_pdf,1765,create_app,app.route,login_required,
/kunden,GET,customer_list,356,create_app,app.route,login_required,
/kunden/<int:cid>,GET,customer_detail,401,create_app,app.route,login_required,
/kunden/<int:cid>/delete,POST,customer_delete,425,create_app,app.route,login_required,
/kunden/<int:cid>/edit,GET|POST,customer_edit,408,create_app,app.route,login_required,
/kunden/<int:cid>/logbuch,GET,customer_logbook,436,create_app,app.route,login_required,
/kunden/<int:cid>/portal,GET|POST,customer_portal_manage,2764,create_app,app.route,login_required,
/kunden/<int:cid>/vault,GET,vault_list,495,create_app,app.route,login_required,
/kunden/<int:cid>/vault/<int:eid>/delete,POST,vault_delete,542,create_app,app.route,login_required,
/kunden/<int:cid>/vault/export,GET|POST,vault_export,655,create_app,app.route,"login_required; limiter.limit('10 per hour', methods=['POST'])",
/kunden/<int:cid>/vault/import,GET|POST,vault_import,563,create_app,app.route,"login_required; limiter.limit('20 per hour', methods=['POST'])",
/kunden/<int:cid>/vault/save,POST,vault_save,512,create_app,app.route,login_required,
/kunden/import,GET|POST,customer_csv_import,458,create_app,app.route,login_required,
/kunden/neu,GET|POST,customer_new,371,create_app,app.route,login_required,
/login,GET|POST,login,224,create_app,app.route,"limiter.limit('10 per minute; 50 per hour', methods=['POST'])",
/logout,GET,logout,248,create_app,app.route,,
/mahnwesen,GET,mahnwesen,1517,create_app,app.route,login_required,
/mahnwesen/<int:wid>/bezahlt,POST,mahnung_bezahlt,1659,create_app,app.route,login_required,
/mahnwesen/<int:wid>/mahnen,POST,mahnung_senden,1559,create_app,app.route,login_required,
/mandanten,GET,tenant_list,1890,create_app,app.route,admin_required,
/mandanten/<int:tid>/delete,POST,tenant_delete,1968,create_app,app.route,admin_required,
/mandanten/<int:tid>/edit,GET|POST,tenant_edit,1928,create_app,app.route,admin_required,
/mandanten/<int:tid>/toggle,POST,tenant_toggle,1959,create_app,app.route,admin_required,
/mandanten/neu,GET|POST,tenant_new,1896,create_app,app.route,admin_required,
/passwort,GET|POST,change_password,254,create_app,app.route,login_required,
/picture/<int:pid>/delete,POST,picture_delete,1011,create_app,app.route,login_required,
/portal,GET,portal_dashboard,2636,create_app,app.route,,
/portal/logbuch,GET,portal_logbook,2725,create_app,app.route,,
/portal/login,GET|POST,portal_login,2548,create_app,app.route,"limiter.limit('10 per minute; 50 per hour', methods=['POST'])",
/portal/logout,GET,portal_logout,2754,create_app,app.route,,
/portal/passwort,GET|POST,portal_change_pw,2619,create_app,app.route,,
/portal/stundenzettel,GET,portal_timesheets,2452,create_app,app.route,,
/portal/tresor,GET,portal_vault,2742,create_app,app.route,,
/portal/vorgang/<int:wid>,GET,portal_wo_detail,2644,create_app,app.route,,
/portal/vorgang/<int:wid>/accept,POST,portal_accept_offer,2652,create_app,app.route,,Kunde nimmt Angebot im Portal an – mit Unterschrift.
/pos/<int:pid>/delete,POST,pos_delete,960,create_app,app.route,login_required,
/statistik,GET|POST,statistik,2478,create_app,app.route,login_required,
/stundenzettel,GET,ts_overview,2241,create_app,app.route,login_required,Übersicht aller Kunden mit offenen Stunden.
/stundenzettel/<int:eid>/delete,POST,ts_delete,2316,create_app,app.route,login_required,
/stundenzettel/<int:eid>/edit,POST,ts_edit,2301,create_app,app.route,login_required,
/stundenzettel/<int:eid>/timer/stop,POST,ts_timer_stop,2343,create_app,app.route,login_required,
/stundenzettel/kunde/<int:cid>,GET,ts_customer,2263,create_app,app.route,login_required,
/stundenzettel/kunde/<int:cid>/abrechnen,POST,ts_settle,2356,create_app,app.route,login_required,Zähler zurücksetzen — alle offenen Einträge als abgerechnet markieren.
/stundenzettel/kunde/<int:cid>/neu,POST,ts_add,2278,create_app,app.route,login_required,
/stundenzettel/kunde/<int:cid>/pdf,GET,ts_pdf,2373,create_app,app.route,login_required,
/stundenzettel/kunde/<int:cid>/timer/start,POST,ts_timer_start,2326,create_app,app.route,login_required,
/vorgaenge,GET,wo_list,737,create_app,app.route,login_required,
/vorgaenge/<int:wid>,GET,wo_detail,788,create_app,app.route,login_required,
/vorgaenge/<int:wid>/activity/add,POST,activity_add,972,create_app,app.route,login_required,
/vorgaenge/<int:wid>/delete,POST,wo_delete,902,create_app,app.route,login_required,
/vorgaenge/<int:wid>/edit,GET|POST,wo_edit,797,create_app,app.route,login_required,
/vorgaenge/<int:wid>/pdf/invoice,GET,pdf_invoice,1044,create_app,app.route,login_required,
/vorgaenge/<int:wid>/pdf/workorder,GET,pdf_workorder,1034,create_app,app.route,login_required,
/vorgaenge/<int:wid>/pdf/xrechnung,GET,pdf_xrechnung,1087,create_app,app.route,login_required,
/vorgaenge/<int:wid>/picture/add,POST,picture_add,995,create_app,app.route,login_required,
/vorgaenge/<int:wid>/pos/add,POST,pos_add,912,create_app,app.route,login_required,
/vorgaenge/<int:wid>/pos/from-article,POST,pos_from_article,934,create_app,app.route,login_required,
/vorgaenge/<int:wid>/send,POST,wo_send_email,1058,create_app,app.route,login_required,
/vorgaenge/<int:wid>/sign,POST,wo_sign,1023,create_app,app.route,login_required,
/vorgaenge/<int:wid>/status/<action>,POST,wo_status,827,create_app,app.route,login_required,
/vorgaenge/neu,GET|POST,wo_new,757,create_app,app.route,login_required,
