ID,band,status,word,Pos,COCA-All,COCA-Acad,ratio,disp,range
156,1,y,process,n,115727,66382,2.00854142159213,0.945803817804111,8
157,1,c,power,n,155405,66059,1.48844284217392,0.932640461208572,9
158,1,c,part,n,225292,65959,1.02516423574713,0.949435578364364,9
159,1,c,national,j,179411,65615,1.28061687647295,0.941156175653672,9
160,1,y,use,n,104906,64527,2.153804603382,0.926108018206196,8
161,1,c,service,n,159496,64187,1.40916691015989,0.93842218071991,9
162,1,y1,within,i,120768,63995,1.85549301501818,0.954082606967624,9
163,1,y,development,n,99812,63509,2.22801274637883,0.942923600567754,8
164,1,y,data,n,84962,63480,2.61623857917676,0.897221247605656,8
165,1,c,think,v,838695,63193,0.26383358211886,0.960575143343346,9
166,1,c,often,r,151696,62905,1.45203201506604,0.958918755776916,9
167,1,y,information,n,136869,61931,1.58441210929715,0.933037293304396,9
168,1,c,question,n,208806,61773,1.03590725335574,0.956675963808806,9
169,1,c,very,r,422266,61194,0.507443720266649,0.952922995433943,9
170,1,c,issue,n,169438,60679,1.2539861879178,0.952066492096421,9
171,1,c,another,d,260296,60499,0.813852789554362,0.957535288878491,9
172,1,y,effect,n,103101,60078,2.04041141008287,0.937823443336709,8
173,1,c,call,v,333570,60044,0.630300694813684,0.949790254768409,9
174,1,r,health,n,139598,59684,1.49707610977128,0.881984824951727,8
175,1,c,might,v,226672,59621,0.921014640857053,0.957777558733006,9
176,1,c,begin,v,243543,59606,0.856997355042581,0.95194329371187,9
177,1,c,us,p,385782,59483,0.539903394680871,0.927251482521731,9
178,1,y,change,n,122695,59284,1.69190427661651,0.940167662638328,9
179,1,y,table,n,134109,59158,1.54461665526147,0.927744563199832,9
180,1,y,policy,n,116824,58987,1.76802902932458,0.910109132165682,9
181,1,c,help,v,233703,58902,0.882532908293569,0.965967900481258,9
182,1,y1,although,c,115282,57943,1.75996742362278,0.947054750415483,8
183,1,y,university,n,124784,57835,1.62291954842717,0.933832182132407,9
184,1,c,both,d,157482,57485,1.27817043739981,0.955435059618447,9
185,1,y,model,n,91260,57310,2.1989487044535,0.918873971372149,9
186,1,c,small,j,200610,56916,0.993452134735678,0.914846779767187,9
187,1,r,company,n,217148,56541,0.911743773458472,0.875545744382609,8
188,1,y,experience,n,106431,56541,1.86020367110109,0.938236457056846,8
189,1,c,good,j,386236,56080,0.508417403983142,0.962142359709968,9
190,1,c,me,p,775447,55993,0.252840576096353,0.945835318765915,9
191,1,y,activity,n,84618,55151,2.2822109760856,0.929238835820777,8
192,1,y,human,j,109916,54672,1.74168335183619,0.928356619210598,8
193,1,c,member,n,148448,54340,1.28177098911366,0.948828275121104,9
194,1,c,still,r,322194,54208,0.589129934324214,0.952669088841608,9
195,1,c,him,p,731462,53767,0.257388530590991,0.944805958899718,9
196,1,y,history,n,124707,53474,1.5014711589648,0.930095802725409,8
197,1,c,want,v,559368,53194,0.332989228798129,0.96434286687985,9
198,1,c,without,i,184781,53064,1.00555962128046,0.960228904517265,9
199,1,c,create,v,130994,53032,1.41759364196554,0.948098376237247,9
200,1,y,develop,v,90914,52543,2.02371454971555,0.940947412319371,9
201,1,r,war,n,168673,52455,1.08894633255657,0.88783844790512,6
202,1,y,suggest,v,99993,52412,1.83538124098119,0.949506333467652,8
203,1,y,economic,j,96894,52368,1.89249289448954,0.900046051332239,9
204,1,c,seem,v,236617,52291,0.773831061060005,0.954945619985126,9
205,1,c,well,r,448199,51983,0.406121153325858,0.962479129125641,9
206,1,y,low,j,117672,51858,1.54314872008103,0.927564465689698,9
207,1,r,law,n,146053,51833,1.24268489156231,0.877224903068718,9
208,1,c,under,i,177088,51295,1.01426410400134,0.936989648335247,9
209,1,y,relationship,n,92198,50744,1.92720694782938,0.925497735314177,8
210,1,c,look,v,534884,50262,0.329037436781332,0.942346751127283,9
211,1,r,behavior,n,70444,50225,2.49655473208151,0.90661356239696,8
212,1,c,much,d,265384,50156,0.661779504092044,0.957981716678783,9
213,1,y,both,r,114507,49946,1.52733333550752,0.954715342364532,9
214,1,y,value,n,88902,49900,1.96541455940737,0.957090737302206,9
215,1,c,public,j,130442,49784,1.33640315887706,0.948828359063345,9
216,1,y,require,v,96535,49554,1.79745931949675,0.943673017793058,9
217,1,y,role,n,95826,49426,1.80608114740106,0.945730942080821,8
218,1,c,against,i,219689,49347,0.786534175626716,0.932542277083317,9
219,1,c,write,v,176548,49345,0.978690799847609,0.947633927882105,9
220,1,c,place,n,219869,49327,0.78557174832122,0.949142490618183,9
221,1,c,far,r,160549,49223,1.07355828742638,0.948494742003878,9
222,1,c,when,r,291580,49171,0.590495325009283,0.960660803408883,9
223,1,y,difference,n,89232,49081,1.92600730530437,0.927090732449888,8
224,1,c,water,n,184829,48781,0.924156962395664,0.864926912545646,7
225,1,c,early,j,116836,48779,1.46191245870165,0.949860438162371,9
226,1,y,analysis,n,59561,48500,2.85131311977763,0.927047014108238,8
227,1,c,few,d,213654,47987,0.786461969498056,0.939649060813966,9
228,1,y,practice,n,81373,47915,2.06184645068644,0.945420203169976,8
229,1,c,fact,n,173796,47686,0.96076300592629,0.957431192872015,9
230,1,y,society,n,87095,47060,1.89201185760925,0.933927207112469,8
231,1,r,art,n,127523,46956,1.28934080514775,0.814296249621636,7
232,1,c,several,d,133049,46873,1.23360548082087,0.936378871459309,9
233,1,c,old,j,254505,46787,0.643715600770016,0.946439522021628,9
234,1,c,point,n,194771,46705,0.839661493167531,0.958815939530032,9
235,1,c,thing,n,438886,46693,0.372533390491293,0.95294281567225,9
236,1,c,right,n,155604,46672,1.05026963479513,0.912872420320096,9
237,1,c,too,r,303970,46326,0.5336533424346,0.962216320943075,9
238,1,y,thus,r,60363,46287,2.68505615250215,0.948907186706562,8
239,1,c,ask,v,308827,46199,0.52382047137058,0.968170933824169,9
240,1,c,where,c,231293,45732,0.692345478265874,0.945194602481862,9
241,1,y,control,n,97795,45690,1.6359486269395,0.92689252674802,9
242,1,y,form,n,83543,45275,1.89763877986121,0.945514103936928,8
243,1,r,learn,v,135474,45228,1.16900557973146,0.941436948739486,9
244,1,c,others,n,125416,45125,1.25988070305064,0.952951918476995,9
245,1,c,consider,v,110724,44671,1.41269712891369,0.962593220394986,9
246,1,y,report,v,95400,44666,1.63943363687038,0.915771052696887,8
247,1,c,about,r,226187,44540,0.689521363997187,0.909261730123357,9
248,1,y,rate,n,94277,44493,1.6525366110613,0.93480385323638,8
249,1,c,lead,v,133408,44493,1.16781747782012,0.952352276882509,9
250,1,y,significant,j,63691,44415,2.44183746759056,0.929955099139218,8
251,1,y,figure,n,80211,44084,1.92447475070388,0.916874212282909,8
252,1,y,factor,n,63253,43871,2.4286311447214,0.921098275688803,8
253,1,c,since,c,152783,43548,0.998063872214245,0.955597833112784,9
254,1,y,interest,n,100940,43498,1.50893712249317,0.945639567208623,9
255,1,c,allow,v,124739,43431,1.21916567143744,0.945256529025995,9
256,1,c,follow,v,129207,42590,1.15421510011485,0.961123727636709,9
257,1,y,culture,n,72196,42561,2.06425736000597,0.930502482416101,8
258,1,c,force,n,115837,42481,1.28414062218905,0.91360987464698,9
259,1,c,word,n,165969,42360,0.893704878609354,0.944975797051085,9
260,1,r,patient,n,79355,42328,1.86774940651156,0.797795687657466,4
261,1,c,here,r,447805,42242,0.330309213854158,0.960936312779411,9
262,1,y,need,n,81279,42193,1.81772093228009,0.949187400686391,9
263,1,y,base,v,81752,42082,1.80244964391093,0.952126069489064,9
264,1,c,every,a,231437,41932,0.634421570262579,0.959967320249424,9
265,1,c,whether,c,131650,41703,1.10920441400014,0.954876379898314,9
266,1,c,body,n,134912,41670,1.08152876445421,0.929766771444941,8
267,1,c,feel,v,298414,41534,0.487359817509346,0.955201141270821,9
268,1,r,class,n,98580,41519,1.47476636994339,0.933970271531538,8
269,1,c,including,i,113737,41265,1.27041389497923,0.948561861652207,9
270,1,y,population,n,68979,40902,2.07631291276273,0.920335808064171,8
271,1,c,appear,v,107943,40754,1.32202878607299,0.941406380761941,8
272,1,c,yet,r,146786,40751,0.972117562222788,0.952272260728761,9
273,1,y,international,j,88771,40746,1.60723367478151,0.908167720079182,9
274,1,c,age,n,112152,40706,1.2709151596832,0.930045498034786,9
275,1,r,participant,n,46903,40689,3.03767669398149,0.86463944882167,7
276,1,c,hold,v,191472,40487,0.740415460348552,0.957474888235477,9
277,1,c,before,i,187768,40417,0.753715850422809,0.955604531450691,9
278,1,r,college,n,108278,40366,1.30539109301299,0.84798413779982,9
279,1,c,city,n,201314,40205,0.699312422183376,0.937694649186716,9
280,1,r,music,n,110990,40129,1.26601730069799,0.776674879168685,6
281,1,y,technology,n,76192,40104,1.84307696979271,0.880485015094803,9
282,1,c,keep,v,252367,39940,0.554166986594788,0.954118505022295,9
283,1,c,mean,v,269180,39879,0.518760171573771,0.962453001064024,9
284,1,c,million,m,176216,39747,0.789812805034387,0.903985842924907,7
285,1,c,business,n,166478,39732,0.83569678527328,0.916805162699211,9
286,1,c,tell,v,420804,39730,0.330600769576722,0.959723992147694,9
287,1,c,local,j,101060,39610,1.37243158099393,0.942612919197298,9
288,1,c,market,n,108070,39469,1.27883974778412,0.922607341480703,8
289,1,c,idea,n,133328,39377,1.03415685651911,0.957770899997017,9
290,1,y,individual,n,59349,39359,2.3221795947046,0.929035353300529,8
291,1,c,four,m,163783,39350,0.841280978283425,0.949731802353296,9
292,1,c,effort,n,93914,39316,1.46589931686693,0.944126022106049,8
293,1,c,leave,v,260368,38998,0.524469071391617,0.955588688704686,9
294,1,c,center,n,132050,38946,1.03273669487529,0.935274656508662,9
295,1,y,type,n,73550,38893,1.85162877427044,0.929327722629812,8
296,1,c,offer,v,115500,38774,1.17550309325329,0.961123107350577,9
297,1,c,try,v,319415,38511,0.422177071818981,0.962714217393829,9
298,1,y,describe,v,76859,38500,1.75400632219219,0.95186427769514,8
299,1,c,person,n,123625,38459,1.08932341171486,0.934578773928469,9
300,1,c,believe,v,192400,38406,0.698971011239906,0.955915454915333,9
301,1,c,understand,v,131426,38406,1.02325280053078,0.955523283677143,9
302,1,c,second,m,112893,38393,1.19083115788495,0.957858448866963,9
303,1,c,remain,v,98934,38175,1.35113465068686,0.944102409007485,9
304,1,r,church,n,88266,38153,1.51356264672323,0.80014362390267,5
305,1,y,indicate,v,56872,38022,2.34100106260137,0.919806161380567,8
306,1,y,image,n,78313,38020,1.69997841041083,0.885096884457957,8
307,1,c,least,r,134256,37707,0.983452597535749,0.961717251536219,9
308,1,c,possible,j,91694,37704,1.4398314739036,0.951992714778478,9
309,1,y,subject,n,65326,37608,2.01585516694032,0.944934116336925,8
310,1,c,less,r,89409,37524,1.46957936191594,0.955697393274487,9
311,1,c,bring,v,189593,37489,0.692383503392572,0.955463727507145,9
312,1,c,young,j,173683,37278,0.751554442892068,0.9484932796856,9
313,1,y,science,n,67811,37253,1.92365089119463,0.881003564024359,8
314,1,r,parent,n,129272,37251,1.00901732320253,0.903849057096292,9
315,1,y,material,n,66113,37206,1.97056730000746,0.905779206722051,8
316,1,y,produce,v,79127,37198,1.64611451456956,0.918484969512848,9
317,1,c,continue,v,136870,37152,0.950471470050565,0.952574754111893,9
318,1,y,condition,n,68912,36933,1.87665692681809,0.939579616665716,8
319,1,c,photo,n,96626,36840,1.33502922996872,0.890353816629341,7
320,1,y,identify,v,58123,36820,2.21820110106737,0.938251529687994,8
321,1,c,down,r,356991,36766,0.360623704232785,0.946627796124532,9
322,1,c,end,n,146344,36756,0.879464828820836,0.949603336166926,9
323,1,r,test,n,75273,36756,1.70983487982353,0.912911842853547,9
324,1,c,home,n,185420,36730,0.693632615672803,0.945665615366847,9
325,1,y,knowledge,n,54438,36633,2.35632656373484,0.940220225812248,8
326,1,y,support,n,75313,36597,1.70153424079352,0.936516329085377,8
327,1,c,never,r,284212,36521,0.449951189682098,0.959268670593178,9
328,1,c,field,n,99988,36475,1.27735782727331,0.907579458844825,9
329,1,c,last,m,314652,36454,0.405676496786619,0.950316938124927,9
330,1,c,book,n,168369,36437,0.757784354934262,0.946628887272556,9
331,1,c,live,v,190933,36360,0.666819102575731,0.943687858183261,9
332,1,y,performance,n,64841,36344,1.96267402245487,0.923213699498614,9
333,1,y,project,n,84065,36260,1.51035047670249,0.923265992013187,9
334,1,y,response,n,61127,36231,2.07545056597652,0.939138679477486,8
335,1,c,toward,i,114213,36135,1.10784161359805,0.950755854927376,9
336,1,y,approach,n,59191,36092,2.13511084272933,0.951532197772419,8
337,1,y,support,v,83180,36072,1.51850582008142,0.949454519325384,8
338,1,c,action,n,86253,35869,1.45616374585853,0.943287122516536,8
339,1,c,receive,v,86999,35761,1.43933056670066,0.954021881636913,9
340,1,c,hand,n,242773,35745,0.515561016053248,0.958963665267766,9
341,1,r,physical,j,56459,35732,2.21609971651716,0.858122915027402,8
342,1,y,period,n,69181,35597,1.80173832982917,0.946495037289112,9
343,1,y,organization,n,72753,35398,1.70369941045178,0.943156965863641,9
344,1,c,black,j,161425,35362,0.767063255436787,0.927506961450799,9
345,1,y,increase,v,65431,35289,1.88851721692428,0.934865173506445,9
346,1,c,though,c,165349,35265,0.746805435094432,0.955967251955668,9
347,1,y,environmental,j,54632,35191,2.25553547939371,0.865804167952562,7
348,1,c,view,n,87911,35174,1.40101793062598,0.943864463875429,8
349,1,r,military,j,92102,35119,1.33517513095055,0.876253111932786,6
350,1,c,major,j,93689,35104,1.31199795149476,0.948602324501105,9
351,1,c,put,v,257102,35086,0.477852165590837,0.962288329100197,9
352,1,c,move,v,193904,35027,0.632530291967975,0.938845386587715,9
353,1,y,source,n,71992,34883,1.69665969739552,0.937161271793126,9
354,1,c,story,n,178828,34626,0.678003537435351,0.927793276386437,9
355,1,c,why,r,256316,34610,0.472814772274823,0.960823883797013,9
356,1,c,reason,n,115335,34602,1.05052220452894,0.95977103748554,9
357,1,c,themselves,p,91662,34548,1.31977147192701,0.949337624398619,9
358,1,c,according,i,91191,34471,1.3236313925271,0.963947156827515,9
359,1,c,line,n,147405,34449,0.81833204681359,0.916990292312266,9
360,1,y,nature,n,63226,34413,1.90586433051027,0.936265190015837,8
361,1,c,site,n,83119,34284,1.44429640870556,0.896019299203397,9
362,1,y,cultural,j,48639,34239,2.46491296481328,0.913950637237451,8
363,1,r,court,n,108946,34191,1.09891896379185,0.832788770853968,8
364,1,c,serve,v,109839,34159,1.08896452612529,0.964047894086339,9
365,1,r,skill,n,55280,34141,2.16258585356762,0.899961325106367,8
366,1,c,back,r,399602,34101,0.298816528520827,0.953882712415544,9
367,1,c,where,r,211899,34053,0.56271906032446,0.952347363406988,9
368,1,y,resource,n,57586,33989,2.06674373068646,0.932819823074413,9
369,1,c,sense,n,103770,33907,1.14414931277895,0.943206251961642,9
370,1,y,century,n,70434,33736,1.67716731249716,0.930796029670263,7
371,1,c,today,r,199257,33636,0.591093128975785,0.949124620805308,9
372,1,c,out,i,262000,33603,0.449098821249069,0.960155679756946,9
373,1,y,strategy,n,53585,33515,2.19008587003323,0.944170213807471,9
374,1,c,change,v,133595,33392,0.875220299512491,0.954475761248433,9
375,1,c,on,r,257353,33299,0.453071882385055,0.959488025292556,9
376,1,c,cost,n,79471,33249,1.4649913641881,0.91912887974668,9
377,1,c,long,r,154261,33193,0.753451875237799,0.9524858745958,9
378,1,y,theory,n,49179,33143,2.35981130730616,0.937512216186761,8
379,1,y,product,n,75627,33132,1.53403735179657,0.905142942052651,9
380,1,y,method,n,46594,33105,2.4878761193401,0.931194781047304,8
381,1,y,goal,n,64791,33049,1.78611243733232,0.948469415093347,9
382,1,r,teach,v,78952,33029,1.46486446384612,0.92807145559393,8
383,1,c,much,r,136505,33021,0.847045649892174,0.945922910274575,9
384,1,c,position,n,82626,33008,1.39883869221648,0.955782873420987,9
385,1,c,white,j,136438,32961,0.845921745449749,0.929410307281705,9
386,1,y,likely,j,68503,32958,1.68467609212779,0.942908082316242,9
387,1,y,note,v,61602,32829,1.86607027975366,0.955126437506411,9
388,1,y1,well,i,65939,32763,1.73982857652134,0.954796334032199,9
389,1,c,president,n,199016,32729,0.575850697859909,0.913539891681642,9
390,1,y,represent,v,63269,32705,1.81004068899689,0.94449895076282,8
391,1,c,play,v,204041,32580,0.559111971329405,0.950003735626169,9
392,1,c,over,r,225944,32492,0.503547896472124,0.956700228936061,9
393,1,r,party,n,123578,32474,0.920152432638821,0.879014913119791,7
394,1,c,nation,n,105498,32284,1.07153970154179,0.91078023483404,9
395,1,r,care,n,102891,32272,1.09828144703311,0.887494554418795,8
396,1,c,turn,v,239638,32073,0.468650465199054,0.944283020331705,9
397,1,c,month,n,177639,31976,0.630305316163212,0.943296574252372,9
398,1,c,set,v,135924,31813,0.819546563302424,0.947244456978594,9
399,1,r,risk,n,66531,31808,1.67408484955756,0.910882493679651,9
400,1,y,general,j,67115,31754,1.65670048910588,0.960402147231857,9
401,1,c,decision,n,89426,31706,1.24148879587653,0.945008398579837,9
402,1,r,food,n,118201,31624,0.936830033348408,0.899321238416796,9
403,1,y,article,n,59688,31513,1.84870611188224,0.954419219005708,8
404,1,c,event,n,81845,31498,1.3475844165534,0.943516705846875,8
